catalog,glong,glat,size,comments,assoc_flag,assoc,Name,Alias,Simbad_comments,VGPS Exclude,MAGPIS Exclude,Parallax,magpis,nvss_match,Cornish,Yusef 20cm GC,Lang Radio,Lang Paschen,THOR
no_radio,2.08704,-0.148496,42.5,,0,,FA258,,,0,0,,0,0,0,0,0,0,0
observe,2.14353,0.00959668,42.5,,0,,FA259,,,0,0,,0,0,0,0,0,0,0
observe,2.16489,0.0101228,42.5,,0,,FA260,,,0,0,,0,0,0,0,0,0,0
no_radio,2.24569,-0.676589,42.5,,0,,FA262,,,0,0,,0,0,0,0,0,0,0
no_radio,2.2572632,0.23275713,39.443863,,1,G002.303+00.243,,,,0,0,,0,0,0,0,0,0,0
known,2.27246,0.237445,284.176,,0,,G002.303+00.243,,,0,0,,0,0,0,0,0,0,0
no_radio,2.3078109,0.22776014,45.489949,,1,G002.303+00.243,,,,0,0,,0,0,0,0,0,0,0
observe,2.31719,-0.148818,85.4422,,0,,FA263,,,0,0,,0,0,0,0,0,0,0
observe,2.37428,-0.0529406,56.1272,?,0,,FQ114,,,0,0,,0,0,0,0,0,0,0
known,2.404,0.068,51.97,,0,,FA080,,,0,0,,0,0,0,0,0,0,0
no_radio,2.41893,0.0780232,115.661,,0,,,,,0,0,,0,0,0,0,0,0,0
known,2.42263,-0.611,88.9424,,0,,FA081,,,0,0,,0,0,0,0,0,0,0
observe,2.44031,0.479983,85.8837,,0,,FA265,,,0,0,,0,0,0,0,0,0,0
no_radio,2.45141,0.136389,42.5,,0,,FA266,,,0,0,,0,0,0,0,0,0,0
observe,2.51611,-0.140869,135.562,,0,,,,,0,0,,0,0,0,0,0,0,0
known,2.52157,-0.0231409,171.062,,0,,G002.510-00.028,,,0,0,,0,0,0,0,0,0,0
observe,2.54249,-0.151514,56.6179,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,2.561,-1.18312,211.902,,0,,,,,0,1,,0,0,0,0,0,0,0
observe,2.5846,-0.00735813,53.5817,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,2.59,0.01,46.8932,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,2.59687,-0.0295718,45.5446,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,2.6008,0.174978,132.226,,0,,,,,0,0,,0,0,0,0,0,0,0
known,2.6143339,0.1333316,60,,0,,G002.611+00.135,,,0,0,,0,0,0,0,0,0,0
no_radio,2.63538,0.166694,61.9501,,0,,FA270,,,0,0,,0,0,0,0,0,0,0
observe,2.67554,0.0375322,46.575,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,2.68155,0.0113847,75.7864,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,2.68396,0.138331,42.5,,0,,FA272,,,0,0,,0,0,0,0,0,0,0
no_radio,2.69659,0.0333671,47.2064,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,2.73314,-0.411426,42.5,,0,,FA273,,,0,0,,0,0,0,0,0,0,0
observe,2.73608,-0.0822461,32.8386,v faint,0,,FQ115,,,0,0,,0,0,0,0,0,0,0
no_radio,2.77342,0.107414,56.507,,0,,,,,0,0,,0,0,0,0,0,0,0
known,2.81311,-0.140414,107.361,,0,,G002.819-00.132,,,0,0,,0,0,0,0,0,0,0
